id,station_name,Average exit trip duration,station_latitude_x,station_longitude_x,bikes_leaving,bikes_entering,Average enter trip duration
317,South Boston Library - 646 E Broadway,995.7363897,42.335741,-71.03877,349,348,1054.235632
318,South End Library - Tremont St at W Newton St,695.3050505,42.341332,-71.076847,495,460,744.6891304
319,South Station - 700 Atlantic Ave,1761.839844,42.352175,-71.055547,1280,1362,799.9185022
320,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,4005.268765,42.378338,-71.048927,413,429,998.7319347
321,Spring St at Powell St,2032.363636,42.27748444,-71.16341468,22,20,2042.25
322,St Mary's,915.4491315,42.34619708,-71.10728681,403,402,855.4179104
323,St. Alphonsus St at Tremont St,1908.201735,42.33329255,-71.10124648,461,334,1943.790419
324,State Street at Channel Center,688.3554913,42.344137,-71.052608,346,317,824.044164
325,Stony Brook T Stop,1003.679443,42.316966,-71.104374,287,250,1247.276
326,Stuart St at Berkeley St,1686.990909,42.34954403,-71.07242074,550,579,1018.540587
327,Stuart St at Charles St,1829.329609,42.351146,-71.066289,358,373,939.6595174
328,Sullivan Square,10746.52713,42.38445226,-71.07514855,129,148,1040.094595
330,Surface Rd at India St,973.0272537,42.358155,-71.052163,477,479,793.125261
331,Surface Rd at Summer St,821.9437819,42.3529457,-71.05656401,587,796,1028.040201
333,Sydney St at Carson St,24754.97826,42.32039374,-71.05355408,92,87,1591.770115
334,Talbot Ave At Blue Hill Ave,1557.0625,42.2945833,-71.087111,16,15,1617.333333
337,The Dimock Center,1128.344828,42.31930943,-71.09639924,29,18,1416.111111
338,The Eddy - New St at Sumner St,298.1621622,42.370744,-71.044201,37,42,307.1666667
339,The Lawn on D,822.9308756,42.344792,-71.044024,217,172,2750.069767
340,The Overlook at St. Gabriel's,1107.970803,42.34679008,-71.14549814,137,58,2804.465517
343,Tremont St at E Berkeley St,840.2378049,42.345392,-71.069616,656,581,786.8674699
344,Tremont St at Hamilton Pl,970.9833532,42.35668335,-71.06166646,841,785,1466.363057
345,Tremont St at Northampton St,894.2930328,42.3384318,-71.0816905,488,505,771.350495
346,Tremont St at W. Dedham St,692.2831858,42.34254914,-71.07421449,452,406,672.9310345
347,Tremont St at West St,1330.654639,42.354979,-71.063348,582,562,1160.898577
348,Troy Boston,522.8979592,42.343749,-71.062256,294,312,584.4519231
355,University of Massachusetts Boston - Campus Center,1453.96875,42.31218918,-71.03648586,32,41,1168.682927
356,Valenti Way at Haverhill St,2541.080895,42.36473899,-71.05934903,1162,1257,932.2545744
359,W Broadway at D St,787.3115672,42.3391085,-71.0514432,536,543,770.4014733
360,W Broadway at Dorchester St,1389.487047,42.33595898,-71.046229,386,318,872.6603774
361,Walnut Ave at School St,1446.036364,42.31242399,-71.09616905,55,39,1822.538462
362,Warren St at Chelsea St,912.6653005,42.371848,-71.060292,732,652,890.6503067
366,Washington St at Brock St,1509.15493,42.34895285,-71.16031677,71,81,1640.259259
367,Washington St at Lenox St,797.4942529,42.33509899,-71.07903779,261,289,828.9446367
368,Washington St at Melnea Cass Blvd,674.3558719,42.332817,-71.081198,281,270,681.6555556
369,Washington St at Rutland St,734.8706897,42.3385146,-71.07404083,1276,1249,743.6805444
370,Washington St at Talbot Ave,23374.33333,42.290333,-71.071806,24,17,1514.235294
372,Washington St at Waltham St,617.0191939,42.34157472,-71.0689044,521,546,659.4688645
373,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,1406.847368,42.351586,-71.04569256,570,681,715.9104258
378,Wentworth Institute of Technology - Huntington Ave at Vancouver St,1018.338129,42.33758601,-71.09627098,278,373,4608.595174
379,West End Park,983.6213992,42.36590788,-71.06446669,243,384,1063.473958
380,Whittier St Health Center,5038.52,42.33286288,-71.09218862,50,66,925.6515152
381,Williams St at Washington St,908.5321637,42.306539,-71.107669,171,183,912.6994536
383,18 Dorrance Warehouse,,42.387151,-71.075978,0,35,262705.0
