start station name,Average trip duration,station latitude,station longitude,bikes leaving
Linwood St at Minuteman Bikeway,962.6390532544378,42.40935396,-71.14906519,169
Longwood Ave at Binney St,1003.0446533490011,42.338629,-71.1065,851
Lower Cambridgeport at Magazine St / Riverside Rd,1131.5331069609508,42.3572185,-71.11387163,1178
MIT Carleton St at Amherst St,714.8040935672515,42.36054174,-71.08669817,1026
MIT Hayward St at Amherst St,696.3261363636364,42.36085937,-71.08551858,880
MIT Pacific St at Purrington St,669.7016848364717,42.3595732,-71.10129476,2018
MIT Stata Center at Vassar St / Main St,599.3372093023256,42.36213123,-71.09115601,1548
MIT Vassar St,669.9187227866473,42.35560121,-71.10394478,2067
MIT at Mass Ave / Amherst St,832.2802898550725,42.3581,-71.093198,3450
MLK Blvd at Washington St,1057.1354166666667,42.32143814,-71.09126061,96
Magoun Square at Trum Field,864.2020202020202,42.3977834,-71.10594004,99
Main St at Austin St,865.7228464419476,42.375603,-71.064608,267
Main St at Baldwin St,719.6315789473684,42.380857,-71.070629,190
Main St at Brooks Park,965.6666666666666,42.411709,-71.110444,30
Main St at Thompson Sq,804.472972972973,42.37487847,-71.06383499,222
Main Street/Albany Street/Technology Square,1004.8707799767171,42.3629016,-71.0915669,859
Malden Center T Station,4291.833333333333,42.426541,-71.073179,60
Malden High School,3591.969696969697,42.42653766,-71.06393695,33
Marion St at Harvard St,1271.5403846153847,42.34012243,-71.12070564,520
Martha Eliot Health Center,883.7373737373738,42.324173,-71.10196,99
Mass Ave T Station,2543.8946515397083,42.34135616,-71.08336953,617
Mass Ave at Albany St,646.44343575419,42.36135838,-71.09670274,1432
Mass Ave at Hadley/Walden,864.7790262172284,42.39120972,-71.12260755,267
Mattapan Library,4882.5,42.2773889,-71.09325,2
Mattapan T Stop,2188.3333333333335,42.267902,-71.093641,6
Maverick Square - Lewis Mall,956.9263157894737,42.36884408,-71.03977829,95
Maverick St at Massport Path,1493.6097560975609,42.36774122,-71.03335975,41
Mayor Salvo Path at Mill St,1519.84375,42.5180352,-70.89570075,32
Medford Sq - Riverside Ave at River St,7496.921052631579,42.417724,-71.108102,38
Medford St at Charlestown BCYF,3392.080459770115,42.38042947,-71.06055722,174
Morton St at Gallivan Blvd,2259.0,42.278747,-71.080286,4
Mt Auburn,1039.1178707224335,42.37478629,-71.13320231,263
Mugar Way at Beacon St,1609.690159574468,42.35553628,-71.0728687,752
Murphy Skating Rink - 1880 Day Blvd,2611.657142857143,42.336448000000004,-71.023739,105
Museum of Science,1207.0714285714287,42.367690180000004,-71.07116282,196
