end station name,Average trip duration,station latitude,station longitude,bikes entering
JFK Crossing at Harvard St. / Thorndike St.,721.6787878787878,42.34655124,-71.12833211,165
JFK/UMass T Stop,7899.20202020202,42.320339739999994,-71.05118036,99
Jackson Square T Stop,2692.3523489932886,42.32293117,-71.10014141,298
Jamaica St at South St,1162.9310344827586,42.30604563,-71.11570891,58
John Ahern Field at Kennedy-Longfellow School,708.7614213197969,42.36903567,-71.0863096,197
Kearins Playground,1003.9285714285714,42.40616124,-71.06041655,14
Kendall Street,700.828125,42.36356016,-71.08216792,320
Kendall T,633.0861594867094,42.36242784,-71.08495474,1091
Kenmore Square,1193.0996677740864,42.348706,-71.097009,602
Kennedy-Longfellow School 158 Spring St,1096.7174515235456,42.36955298,-71.08579015,722
Lafayette Square at Mass Ave / Main St / Columbia St,722.7954545454545,42.36346469,-71.10057324,1276
Lafayette at Leach St,1009.1,42.51142784,-70.89183301,10
Landmark Center - Brookline Ave at Park Dr,1543.0781758957655,42.34369056,-71.10235287,1228
Langley Lot,3866.25,42.330528,-71.192861,4
Lansdowne T Stop,1199.634945397816,42.34734473,-71.10016808,641
Lesley University,763.8947368421053,42.38674802,-71.11901879,437
Lewis Wharf at Atlantic Ave,868.4003021148036,42.363871,-71.050877,662
Linear Park - Mass. Ave. at Cameron Ave. ,720.4,42.397828,-71.130516,370
Linwood St at Minuteman Bikeway,2517.5064935064934,42.40935396,-71.14906519,154
Longwood Ave at Binney St,1215.320197044335,42.338629,-71.1065,812
Lower Cambridgeport at Magazine St / Riverside Rd,869.2906779661017,42.3572185,-71.11387163,1180
MIT Carleton St at Amherst St,656.8197507190796,42.36054174,-71.08669817,1043
MIT Hayward St at Amherst St,596.6678281068525,42.36085936999999,-71.08551858,861
MIT Pacific St at Purrington St,660.0909574468085,42.3595732,-71.10129476,1880
MIT Stata Center at Vassar St / Main St,545.2060402684564,42.36213123,-71.09115601,1490
MIT Vassar St,693.9136125654451,42.35560121,-71.10394478,1910
MIT at Mass Ave / Amherst St,655.6819535437761,42.3581,-71.093198,3358
MLK Blvd at Washington St,1211.158536585366,42.32143814,-71.09126061,82
Magoun Square at Trum Field,943.3644067796611,42.3977834,-71.10594004,118
Main St at Austin St,1721.935593220339,42.375603,-71.064608,295
Main St at Baldwin St,812.5591397849462,42.380857,-71.070629,186
Main St at Brooks Park,1268.2777777777778,42.411709,-71.110444,36
Main St at Thompson Sq,932.1942446043165,42.37487847,-71.06383499,278
Main Street/Albany Street/Technology Square,562.5143843498274,42.3629016,-71.0915669,869
Malden Center T Station,4045.463768115942,42.426541,-71.073179,69
Malden High School,2858.4736842105262,42.42653766,-71.06393695,38
Marion St at Harvard St,958.3061224489796,42.34012243,-71.12070564,490
Martha Eliot Health Center,4075.4533333333334,42.324173,-71.10196,75
Mass Ave T Station,1537.400309119011,42.34135616,-71.08336953,647
Mass Ave at Albany St,806.0333569907737,42.36135838,-71.09670274,1409
Mass Ave at Hadley/Walden,878.0912863070539,42.39120972,-71.12260755,241
Mattapan Library,4645.6,42.2773889,-71.09325,5
Mattapan T Stop,2787.6,42.267902,-71.093641,10
Maverick Square - Lewis Mall,821.1932773109244,42.36884408,-71.03977829,119
