start_station_name,Average_trip_duration,station_latitude,station_longitude,bikes_leaving
MIT at Mass Ave / Amherst St,832.2802899,42.3581,-71.093198,3450
MLK Blvd at Washington St,1057.135417,42.32143814,-71.09126061,96
Magoun Square at Trum Field,864.2020202,42.3977834,-71.10594004,99
Main St at Austin St,865.7228464,42.375603,-71.064608,267
Main St at Baldwin St,719.6315789,42.380857,-71.070629,190
Main St at Brooks Park,965.6666667,42.411709,-71.110444,30
Main St at Thompson Sq,804.472973,42.37487847,-71.06383499,222
Main Street/Albany Street/Technology Square,1004.87078,42.3629016,-71.0915669,859
Malden Center T Station,4291.833333,42.426541,-71.073179,60
Malden High School,3591.969697,42.42653766,-71.06393695,33
Marion St at Harvard St,1271.540385,42.34012243,-71.12070564,520
Martha Eliot Health Center,883.7373737,42.324173,-71.10196,99
Mass Ave T Station,2543.894652,42.34135616,-71.08336953,617
Mass Ave at Albany St,646.4434358,42.36135838,-71.09670274,1432
Mass Ave at Hadley/Walden,864.7790262,42.39120972,-71.12260755,267
Mattapan Library,4882.5,42.2773889,-71.09325,2
Mattapan T Stop,2188.333333,42.267902,-71.093641,6
Maverick Square - Lewis Mall,956.9263158,42.36884408,-71.03977829,95
Maverick St at Massport Path,1493.609756,42.36774122,-71.03335975,41
Mayor Salvo Path at Mill St,1519.84375,42.5180352,-70.89570075,32
Medford Sq - Riverside Ave at River St,7496.921053,42.417724,-71.108102,38
Medford St at Charlestown BCYF,3392.08046,42.38042947,-71.06055722,174
Morton St at Gallivan Blvd,2259,42.278747,-71.080286,4
Mt Auburn,1039.117871,42.37478629,-71.13320231,263
Mugar Way at Beacon St,1609.69016,42.35553628,-71.0728687,752
Murphy Skating Rink - 1880 Day Blvd,2611.657143,42.336448,-71.023739,105
Museum of Science,1207.071429,42.36769018,-71.07116282,196
NCAAA - Walnut Ave at Crawford St,1885.961538,42.316902,-71.091946,26
Nashua Street at Red Auerbach Way,1600.538153,42.365673,-71.064263,996
New Balance - 20 Guest St,6085.034722,42.35732922,-71.1467354,144
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,3591.589928,42.326599,-71.066498,139
Newton Highlands T,953.9090909,42.32206566,-71.20637298,11
Newton Library,2158,42.33620337,-71.20779455,1
Nichols Ave. at Watertown Greenway,1192.68,42.36762049,-71.15656637,100
Nonantum Library,512.2222222,42.36068456,-71.201462,9
North St at Liberty Hill Ave,912.5,42.52989965,-70.90614259,2
Northern Strand at Main St,1298.223881,42.42386,-71.067793,67
Oak Square - 615 Washington St,1091.384,42.35057,-71.166491,125
Old Morse Park at Putnam Ave,681.8018868,42.35766248,-71.10841334,742
One Beacon St,976.4619048,42.35847764,-71.0613513,210
One Brigham Circle,794.591687,42.3339227,-71.10446509,409
One Broadway / Kendall Sq at Main St / 3rd St,1087.294118,42.36224179,-71.08311072,680
One Kendall Square at Hampshire St / Portland St,745.8865116,42.366277,-71.09169,1075
One Memorial Drive,804.7378917,42.36161932,-71.08043551,351
Orient Heights T Stop - Bennington St at Saratoga St,1968.542857,42.386781,-71.006098,35
Orr Sq (Shirley Ave),2018,42.40715656,-70.9927243,23
Packard Ave at Powderhouse Blvd,2895.710843,42.40449,-71.123413,166
Packard's Corner - Commonwealth Ave at Brighton Ave,1032.280799,42.352261,-71.123831,901
Park Dr at Buswell St,852.6527094,42.347241,-71.105301,406
Park Plaza at Charles St S.,770.3820598,42.35182807,-71.06781138,301
Perry Park,868.1388889,42.37927325,-71.10341903,612
Pier 4 Blvd at Autumn Ln,719.0321101,42.3502102,-71.0446705,218
Porter Square Station,718.6258741,42.387995,-71.119084,858
Porzio Park,2276.92,42.36411904,-71.02876782,50
Powder House Circle - Nathan Tufts Park,2594.157895,42.400877,-71.116772,190
Prudential Center - 101 Huntington Ave,2068.964994,42.34652004,-71.08065777,857
Purchase St at Pearl St,2037.071429,42.354659,-71.053181,518
Railroad Lot and Minuteman Bikeway,2063.652174,42.41606457,-71.15336637,138
Raymond Park at Walden St,705.6217617,42.38736954,-71.12761001,193
Revere City Hall,983.75,42.40741,-71.0139,4
Revere Public Library,2082.166667,42.408088,-71.008942,6
Rindge Avenue - O'Neill Library,1272.636905,42.392766,-71.129042,168
Rogers St & Land Blvd,974.5942029,42.36644674,-71.07654601,207
Roseland St At Dorchester Ave,482.0666667,42.29116853,-71.0630089,15
Roslindale Village - South St,55901.75,42.287072,-71.127754,20
Roslindale Village - Washington St,1738.88,42.28630716,-71.12820532,25
Ross Playground,961,42.2645666,-71.1145523,1
Rowes Wharf at Atlantic Ave,680.1205674,42.357143,-71.050699,423
Roxbury Crossing T Stop - Columbus Ave at Tremont St,637.166205,42.331184,-71.095171,722
Roxbury YMCA - Warren St at MLK Blvd,2993.873239,42.31787329,-71.08243078,71
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,762.0134615,42.33624445,-71.08798563,1040
S Huntington Ave at Heath St,803.221519,42.32760387,-71.1108917,158
Salem MBTA - Lower Level,736.1,42.523994,-70.89684,10
Salem MBTA - Washington at Federal St,2912.754717,42.52345239,-70.89611113,53
Salem State University - Bike Path at Loring Ave,16179.35484,42.50182399,-70.89478076,31
Salem State University - North Campus,993.75,42.503332,-70.891444,20
Savin Hill T Stop - S Sydney St at Bay St,1889.657143,42.3106,-71.0539,35
Seaport Blvd at Sleeper St,2286.630662,42.35317809,-71.04817357,861
Seaport Hotel - Congress St at Seaport Ln,1287.861423,42.34881026,-71.04167744,267
Seaport Square - Seaport Blvd at Northern Ave,817.6076555,42.35148193,-71.04436085,418
Sennott Park Broadway at Norfolk Street,663.927665,42.36860524,-71.09930186,788
Shawmut Ave at Lenox St,724.2333333,42.33584613,-71.08038157,60
Shawmut Ave at Oak St W,5250.710602,42.34854543,-71.06559185,349
Shawmut T Stop,8995.230769,42.292917,-71.06575,39
Shetland Park - Congress at Peabody St,17345.13333,42.51836788,-70.88952363,15
Sidney Research Campus/Erie Street at Waverly,687.877193,42.35775309,-71.10393405,513
Silber Way,915.9371069,42.349496,-71.10057592,636
Smith Pl at Wilson Rd,1124.954023,42.39239749,-71.15058332,87
Soldiers Field Park - 111 Western Ave,1153.165432,42.36426344,-71.1182757,405
Somerville City Hall,889.1984733,42.386844,-71.09812,262
Somerville High School & Central Library,764.745283,42.3864,-71.09601,106
South Boston Library - 646 E Broadway,995.7363897,42.335741,-71.03877,349
South End Library - Tremont St at W Newton St,695.3050505,42.341332,-71.076847,495
South Station - 700 Atlantic Ave,1761.839844,42.352175,-71.055547,1280
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,4005.268765,42.378338,-71.048927,413
Spring St at Powell St,2032.363636,42.27748444,-71.16341468,22
St Mary's,915.4491315,42.34619708,-71.10728681,403
St. Alphonsus St at Tremont St,1908.201735,42.33329255,-71.10124648,461
State Street at Channel Center,688.3554913,42.344137,-71.052608,346
Stony Brook T Stop,1003.679443,42.316966,-71.104374,287
Stuart St at Berkeley St,1686.990909,42.34954403,-71.07242074,550
Stuart St at Charles St,1829.329609,42.351146,-71.066289,358
Sullivan Square,10746.52713,42.38445226,-71.07514855,129
Sumner St at Shirley Ave,1634.307692,42.40833706,-70.99804848,13
Surface Rd at India St,973.0272537,42.358155,-71.052163,477
Surface Rd at Summer St,821.9437819,42.3529457,-71.05656401,587
Swan St. Park,1128.407407,42.41250451,-71.05842225,27
Sydney St at Carson St,24754.97826,42.32039374,-71.05355408,92
Talbot Ave At Blue Hill Ave,1557.0625,42.2945833,-71.087111,16
Tappan St at Brookline Hills MBTA,1066.087912,42.33137017,-71.12688361,91
Teele Square,1916.728155,42.4008795,-71.12590793,206
The Dimock Center,1128.344828,42.31930943,-71.09639924,29
The Eddy - New St at Sumner St,298.1621622,42.370744,-71.044201,37
The Lawn on D,822.9308756,42.344792,-71.044024,217
The Overlook at St. Gabriel's,1107.970803,42.34679008,-71.14549814,137
Third at Binney,809.7661431,42.36544486,-71.08277142,573
Thorndike Field at Minuteman Bikeway,1110.159292,42.40016805,-71.14456963,113
Tremont St at E Berkeley St,840.2378049,42.345392,-71.069616,656
Tremont St at Hamilton Pl,970.9833532,42.35668335,-71.06166646,841
Tremont St at Northampton St,894.2930328,42.3384318,-71.0816905,488
Tremont St at W. Dedham St,692.2831858,42.34254914,-71.07421449,452
Tremont St at West St,1330.654639,42.354979,-71.063348,582
Troy Boston,522.8979592,42.343749,-71.062256,294
Trum Field @ Cedar St (Temp Winter Station),791.6447368,42.398444,-71.107833,76
Tufts Sq - Main St at Medford St,1341.709302,42.401697,-71.106128,86
Union Square - Brighton Ave at Cambridge St,3814.859574,42.353334,-71.137313,470
Union Square - Somerville,1380.297064,42.3796479,-71.09540476,579
Union Square East,869.310757,42.380078,-71.090098,251
University Park,714.0755124,42.36264779,-71.10006094,927
University of Massachusetts Boston - Campus Center,1453.96875,42.31218918,-71.03648586,32
Valenti Way at Haverhill St,2541.080895,42.36473899,-71.05934903,1162
Vassal Lane at Tobin/VLUS,1152.269231,42.38536765,-71.13775671,52
Verizon Innovation Hub 10 Ware Street,723.5137363,42.37250865,-71.11305356,364
W Broadway at D St,787.3115672,42.3391085,-71.0514432,536
W Broadway at Dorchester St,1389.487047,42.33595898,-71.046229,386
Walnut Ave at School St,1446.036364,42.31242399,-71.09616905,55
Warren St at Chelsea St,912.6653005,42.371848,-71.060292,732
Wasgott Playground,1251.444444,42.40933007,-71.06381878,18
Washington Sq,1017.67619,42.33985827,-71.13421171,210
Washington St @ New Washington St (Temp Winter Station),1057.688797,42.38103732,-71.08709779,241
Washington St at Brock St,1509.15493,42.34895285,-71.16031677,71
Washington St at Lenox St,797.4942529,42.33509899,-71.07903779,261
Washington St at Melnea Cass Blvd,674.3558719,42.332817,-71.081198,281
Washington St at Rutland St,734.8706897,42.3385146,-71.07404083,1276
Washington St at Talbot Ave,23374.33333,42.290333,-71.071806,24
Washington St at Walnut St,2264,42.35145812,-71.20764971,3
Washington St at Waltham St,617.0191939,42.34157472,-71.0689044,521
Watermark Seaport - Boston Wharf Rd at Seaport Blvd,1406.847368,42.351586,-71.04569256,570
Watertown Sq,2189.510417,42.36526032,-71.18573324,96
Watertown St at Albemarle Rd,3770.75,42.35410408,-71.21382214,4
Watertown Town Hall,1777.5,42.367621,-71.187936,16
Wellington MBTA,1352.351852,42.4023682,-71.07573182,54
Wentworth Institute of Technology - Huntington Ave at Vancouver St,1018.338129,42.33758601,-71.09627098,278
West End Park,983.6213992,42.36590788,-71.06446669,243
Whittier St Health Center,5038.52,42.33286288,-71.09218862,50
Williams St at Washington St,908.5321637,42.306539,-71.107669,171
Wilson Square,714.974026,42.38567579,-71.11412136,308
