start station id,start station name,start station latitude,start station longitude,tripduration
463,Smith Pl at Wilson Rd,42.39239749,-71.15058332,1124.954023
466,Centre St at Washington St,42.35574335,-71.18641943,2365
468,Nonantum Library,42.36068456,-71.201462,512.2222222
469,Bacon St at Washington St,42.35711921,-71.18604537,1408.785714
471,MIT Carleton St at Amherst St,42.36054174,-71.08669817,714.8040936
472,MIT Hayward St at Amherst St,42.36085937,-71.08551858,696.3261364
474,Watertown St at Albemarle Rd,42.35410408,-71.21382214,3770.75
475,Arsenal Yards,42.36277389,-71.15764854,1758.064327
478,Gove St at Orleans St,42.37057753,-71.0355854,448.3571429
479,Galileo Galilei Way at Main Street,42.36300378,-71.08974038,573.1771772
480,Thorndike Field at Minuteman Bikeway,42.40016805,-71.14456963,1110.159292
481,645 Summer St,42.34178089,-71.03987017,880.3584906
482,Kearins Playground,42.40616124,-71.06041655,879
483,Porzio Park,42.36411904,-71.02876782,2276.92
484,Revere Public Library,42.408088,-71.008942,2082.166667
485,Revere City Hall,42.40741,-71.0139,983.75
486,Langley Lot,42.330528,-71.192861,5199
487,Community Path at Lowell St,42.392525,-71.105587,848.0150943
488,Martha Eliot Health Center,42.324173,-71.10196,883.7373737
489,Day Sq,42.379295,-71.027733,911.0540541
490,Blue Hill Ave at Havelock St,42.286012,-71.090986,2071
491,Harrison Ave at E. Dedham St,42.339194,-71.06975,801.0268817
492,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,1188.113946
494,Watertown Town Hall,42.367621,-71.187936,1777.5
495,Union Square East,42.380078,-71.090098,869.310757
496,Trum Field @ Cedar St (Temp Winter Station),42.398444,-71.107833,791.6447368
497,Washington St @ New Washington St (Temp Winter Station),42.38103732,-71.08709779,1057.688797
498,Broadway Opposite Norwood Ave  (Temp Winter Station),42.396764,-71.102376,837
499,Conway Park @ Bleachery Ct (Temp Winter Station),42.3834575,-71.1077106,804.7807692
502,160 Arsenal,42.36466403,-71.17569387,2739.263158
503,Cary Square,42.39813565,-71.03070972,432
504,Bellingham Square,42.39319611,-71.0334456,748.8333333
505,Chelsea Square,42.39022671,-71.03857018,1867.444444
506,Broadway at Gerrish Ave,42.39453079,-71.03085594,2561.416667
507,Chelsea Station,42.39636528,-71.03987179,5541.846154
508,855 Broadway,42.39841773,-71.02390923,19518.82353
509,Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637,1192.68
513,Roseland St At Dorchester Ave,42.29116853,-71.0630089,482.0666667
514,Gilman Square T at Medford St,42.3867355,-71.0946444,964.2674419
515,955 Mass Ave,42.36895181,-71.1099878,1327.989919
518,Shetland Park - Congress at Peabody St,42.51836788,-70.88952363,17345.13333
519,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,1519.84375
520,Salem MBTA - Washington at Federal St,42.52345239,-70.89611113,2912.754717
521,Lafayette at Leach St,42.51142784,-70.89183301,7347.071429
522,Salem State University - Bike Path at Loring Ave,42.50182399,-70.89478076,16179.35484
523,Boston College T,42.33987892,-71.16708934,945.8
524,Newton Highlands T,42.32206566,-71.20637298,953.9090909
